Japanese,English
204,地方,Region
205,隊,Corps
206,期,The period
207,城,castle
208,にて,At
209,長,The length
210,計画,plan
211,番,Ban
212,必要,necessary
213,出す,put out
214,一般,Common
215,変更,Change
216,本,Book
217,中央,Center
218,関する,About
219,出る,Leave
220,出演,Performance
221,作る,create
222,基,Basis
223,事業,business
224,委員,Committee member
225,バス,bus
226,市,city
227,以下,Less than
228,社会,society
229,教育,education
230,事件,Incident
231,特に,in particular
232,卒業,graduate
233,役,Role
234,当初,At first
235,結果,result
236,選挙,election
237,機関,organ
238,大きい,large
239,高等,Higher
240,獲得,Acquisition
241,政府,government
242,戦う,fight
243,中国,China
244,最初,the first
245,設立,Establishment
246,置く,Put
247,種,seed
248,金,Money
249,建設,construction
250,派,Faction
251,続く,Continue
252,影響,Impact
253,文化,culture
254,科,Department
255,外,Outside
256,デビュー,debut
257,台,Table
258,情報,information
259,そして,And
260,航空,Aviation
261,村,village
262,政治,Politics
263,同様,Same
264,販売,Sale
265,面,surface
266,異なる,different
267,担当,In charge of
268,最も,most
269,寺,temple
270,攻撃,attack
271,人口,population
272,ながら,Though
273,及び,as well as
274,区,Ward
275,馬,Horse
276,プロ,Professional
277,経済,Economy
278,付ける,wear
279,地区,district
280,与える,give away
281,それぞれ,Respectively
282,年間,Year
283,水,water
284,構成,Constitution
285,路線,Route
286,射る,shoot
287,アメリカ合衆国,United States of America
288,米,Rice
289,採用,Adopt
290,伴う,Accompany
291,主義,Principle
292,上げる,increase
293,グループ,group
294,女性,Woman
295,手,hand
296,システム,system
297,歴史,history
298,意味,meaning
299,一方,on the other hand
300,元,Origin
301,県,Prefecture
302,続ける,to continue
303,技術,Technology
304,当たる,Strikes
305,うち,home
306,海軍,Navy
307,公,public
308,発生,Occurrence
309,製造,Production
310,自身,Own
311,車両,vehicle
312,光,light
313,話,Story
314,野球,baseball
315,調査,Research
316,船,ship
317,シングル,single
318,勝,Wins
319,列車,train
320,正,Regular
321,父,father
322,活躍,Activity
323,省,Ministry
324,終了,End
325,文,Sentence
326,初,First
327,全国,Nationwide
328,収録,Recording
329,人物,person
330,ロシア,Russia
331,渡る,Cross over
332,制作,Work
333,就任,Assumption of office
334,最後,last
335,書く,write
336,下,under
337,エンジン,engine
338,状態,Status
339,かつて,Once
340,形,form
341,殆んど,殆Ndo
342,橋,bridge
343,決定,Decision
344,経る,Experience
345,組織,Organization
346,イタリア,Italy
347,朝,Morning
348,帝国,Empire
349,生産,production
350,果たす,Fulfill
351,株式,stock
352,海,Ocean
353,神,God
354,年度,year
355,モデル,model
356,描く,Draw
357,道路,road
358,制,Control
359,次,Next
360,但し,However
361,議員,Rep.
362,京都,Kyoto
363,部分,part
364,漫画,comics
365,最大,maximum
366,名称,name
367,石,stone
368,員,Member
369,独立,Independence
370,書,book
371,施設,Facility
372,場所,place
373,県道,Prefectural road
374,始まる,Begin
375,示す,Show
376,以降,Or later
377,様々,various
378,大きな,big
379,クラブ,club
380,機能,function
381,天,Heaven
382,サッカー,Football
383,部隊,Force
384,搭載,powered by
385,初めて,The first time
386,兵,Soldier
387,高校,high school
388,公開,Release
389,党,party
390,編成,Organization
391,運動,motion
392,量,amount
393,時期,season
394,センター,Center
395,製作,Production
396,藩,The clan
397,強い,strong
398,企業,Company
399,受賞,Winning
400,付く,Adhere
401,院,Hospital
402,店,shop
403,戦闘,combat
404,結ぶ,tie
405,目的,Purpose
406,通常,Normal
407,対応,Correspondence
408,残る,Remain
409,勝利,victory
410,ホーム,home
411,管理,management
412,至る,Arrive
413,団,Dan
414,木,wood
415,最終,Last
416,基本,Basis
417,教授,Professor
418,ドラマ,Drama
419,挙げる,Raise
420,構造,Construction
421,作曲,Composition
422,アニメ,Anime
423,設計,design
424,実施,Implementation
425,現,Current
426,長い,long
427,メンバー,member
428,領,Ryo
429,交通,traffic
430,室,Room
431,協会,Association
432,女子,Women
433,者,Person
434,設定,Setting
435,発見,Discovery
436,契約,Agreement
437,信,Trust
438,英語,English language
439,生活,life
440,連合,Union
441,自動車,Automobile
442,指揮,Command
443,色,color
444,自分,myself
445,及ぶ,Extend
446,ラジオ,radio
447,歌,song
448,重,Weight
449,規模,scale
450,移籍,Transfers
451,思う,think
452,廃止,Abolition
453,名前,given names
454,重要,important
455,成功,success
456,原,original
457,予定,plans
458,特別,special
459,認める,Admit
460,キャラクター,character
461,巻,roll
462,最高,Highest
463,加える,Add
464,ここ,here
465,バンド,band
466,再び,again
467,武,Takeshi
468,実際,Practical
469,そこ,There
470,似る,Resemble
471,組,set
472,運転,operation
473,専門,Expert
474,出版,Publication
475,内容,Content
476,煎る,roast
477,個,Individual
478,小学校,primary school
479,義,Righteousness
480,数,number
481,終わる,Ends
482,例,Case
483,リリース,release
484,合わせる,match
485,大戦,Great war
486,科学,Science
487,運行,Service
488,対,versus
489,北海道,Hokkaido
490,士,Samurai
491,ヨーロッパ,Europe
492,群,group
493,少ない,Few
494,指定,Designation
495,江戸,Edo
496,ところ,Place
497,陸軍,Army
498,残す,leave
499,教会,Church
